algorithm,drop_intermediate,file_size_kb,fingerprint,strategy,target,train_accuracy,train_f1,train_inference_time_ns,train_mcc,train_precision,train_sensitivity,train_specificity,test_accuracy,test_f1,test_inference_time_ns,test_mcc,test_precision,test_sensitivity,test_specificity,cv_best_mean_score,cv_split_0,cv_split_1,cv_split_2,estimator__C,estimator__algorithm,estimator__coef0,estimator__degree,estimator__early_stopping,estimator__gamma,estimator__l2_regularization,estimator__leaf_size,estimator__learning_rate,estimator__max_depth,estimator__max_features,estimator__max_iter,estimator__min_samples_leaf,estimator__min_samples_split,estimator__n_estimators,estimator__n_iter_no_change,estimator__n_jobs,estimator__n_neighbors,estimator__oob_score,estimator__p,estimator__random_state,estimator__shrinking,estimator__warm_start,estimator__weights,selectpercentile__percentile,variancethreshold__threshold
rf,True,931.5947265625,AtomPairs2DCount,random,hcv_ns3,0.9824561403508771,0.9838709677419355,9649342,0.9646401985111662,0.9838709677419355,0.9838709677419355,0.9807692307692307,0.9824561403508771,0.9836065573770492,8446084,0.9653494919339114,0.967741935483871,1.0,0.9629629629629629,0.9210526315789473,0.9210526315789473,0.9342105263157895,0.9078947368421053,,,,,,,,,,None,sqrt,,1.0,3.0,100.0,,,,True,,22.0,,True,,80,0.08999999999999998
rf,False,6674.5908203125,AtomPairs2DCount,random,hcv_ns3,0.90633608815427,0.9064347691761628,36786621,0.8588528264812717,0.9076879120504227,0.90633608815427,,0.9560439560439561,0.9557476527204912,29173706,0.9340982891873927,0.9582354966970351,0.9560439560439561,,0.6887052341597796,0.7355371900826446,0.6694214876033058,0.6611570247933884,,,,,,,,,,10,log2,,1.0,2.0,500.0,,,,True,,22.0,,True,,100,0.08999999999999998
hgb,True,2674.4404296875,AtomPairs2DCount,random,hcv_ns3,0.9868421052631579,0.9878542510121457,51093550,0.9735386776217729,0.991869918699187,0.9838709677419355,0.9903846153846154,0.9649122807017544,0.9666666666666667,15677977,0.9296296296296296,0.9666666666666667,0.9666666666666667,0.9629629629629629,0.9078947368421053,0.9342105263157895,0.9342105263157895,0.8552631578947368,,,,,True,,0.0,,0.01,None,,1000.0,8.0,,,100.0,,,,,22.0,,True,,80,0.15999999999999998
hgb,False,2086.1708984375,AtomPairs2DCount,random,hcv_ns3,0.8925619834710744,0.8925740906129058,22234800,0.8379342429304818,0.8932658847483259,0.8925619834710744,,0.9560439560439561,0.956200494662033,85546881,0.9333918845851874,0.9576923076923077,0.9560439560439561,,0.650137741046832,0.6776859504132231,0.6033057851239669,0.6694214876033058,,,,,True,,0.0,,0.01,None,,1000.0,16.0,,,100.0,,,,,22.0,,True,,90,0.08999999999999998
svm,True,622.1123046875,AtomPairs2DCount,random,hcv_ns3,0.9736842105263158,0.975609756097561,7088877,0.9471900171948989,0.9836065573770492,0.967741935483871,0.9807692307692307,0.9824561403508771,0.9836065573770492,4736070,0.9653494919339114,0.967741935483871,1.0,0.9629629629629629,0.9298245614035089,0.9736842105263158,0.9342105263157895,0.881578947368421,10.0,,0.1,3.0,,0.001,,,,,,,,,,,,,,,22.0,False,,,80,0.15999999999999998
svm,False,855.1552734375,AtomPairs2DCount,random,hcv_ns3,0.8760330578512396,0.8759199699638571,18629269,0.812927951468013,0.8760005008765339,0.8760330578512396,,0.9340659340659341,0.9336741689682867,7952267,0.8996317368979896,0.9336745875207414,0.9340659340659341,,0.6831955922865015,0.7024793388429752,0.6611570247933884,0.6859504132231405,10.0,,0.0,3.0,,0.001,,,,,,,,,,,,,,,22.0,False,,,90,0.15999999999999998
dt,True,199.2099609375,AtomPairs2DCount,random,hcv_ns3,0.9298245614035088,0.9384615384615385,4587123,0.8621891534815506,0.8970588235294118,0.9838709677419355,0.8653846153846154,0.9649122807017544,0.967741935483871,4258277,0.9316949906249123,0.9375,1.0,0.9259259259259259,0.9166666666666666,0.9342105263157895,0.9342105263157895,0.881578947368421,,,,,,,,,,20,log2,,2.0,4.0,,,,,,,22.0,,,,80,0.15999999999999998
dt,False,203.943359375,AtomPairs2DCount,random,hcv_ns3,0.7575757575757576,0.7540215867506086,4443857,0.6380940950473821,0.7568092448674753,0.7575757575757576,,0.7802197802197802,0.7786710418375717,4174046,0.6740600894278479,0.78723983389882,0.7802197802197802,,0.6666666666666666,0.6942148760330579,0.6528925619834711,0.6528925619834711,,,,,,,,,,10,sqrt,,4.0,2.0,,,,,,,22.0,,,,90,0.15999999999999998
knn,True,674.9921875,AtomPairs2DCount,random,hcv_ns3,0.9780701754385965,0.9795918367346939,55348713,0.9562375931931884,0.9917355371900827,0.967741935483871,0.9903846153846154,0.9824561403508771,0.9836065573770492,16027740,0.9653494919339114,0.967741935483871,1.0,0.9629629629629629,0.9298245614035089,0.9210526315789473,0.9605263157894737,0.9078947368421053,,auto,,,,,,10.0,,,,,,,,,-1.0,5.0,,1.0,,,,distance,80,0.15999999999999998
knn,False,893.83203125,AtomPairs2DCount,random,hcv_ns3,0.9118457300275482,0.9120463834547883,33073806,0.8670580132863411,0.9124820873083889,0.9118457300275482,,0.9560439560439561,0.9559471297932836,21181966,0.9336545671556788,0.956967956967957,0.9560439560439561,,0.6639118457300276,0.6942148760330579,0.6942148760330579,0.6033057851239669,,ball_tree,,,,,,30.0,,,,,,,,,-1.0,5.0,,1.0,,,,distance,80,0.08999999999999998
