algorithm,drop_intermediate,file_size_kb,fingerprint,strategy,target,train_inference_time_ns,train_mae,train_pearson,train_r2,train_rmse,test_inference_time_ns,test_mae,test_pearson,test_r2,test_rmse,cv_best_mean_score,cv_split_0,cv_split_1,cv_split_2,estimator__C,estimator__algorithm,estimator__coef0,estimator__degree,estimator__early_stopping,estimator__gamma,estimator__l2_regularization,estimator__leaf_size,estimator__learning_rate,estimator__max_depth,estimator__max_features,estimator__max_iter,estimator__min_samples_leaf,estimator__min_samples_split,estimator__n_estimators,estimator__n_iter_no_change,estimator__n_jobs,estimator__n_neighbors,estimator__oob_score,estimator__p,estimator__random_state,estimator__shrinking,estimator__warm_start,estimator__weights,selectpercentile__percentile,variancethreshold__threshold
rf,False,1861.39453125,AtomPairs2DCount,random,hcv_ns3,13576014,0.3748812503877142,0.9085640187016025,0.811650611752565,0.5190381731839921,9363841,0.3632599679862674,0.921260702704296,0.8297305220943785,0.49800002321104475,0.5910400726146219,0.6617052151103595,0.5345575742200215,0.5768574285134845,,,,,,,,,,30,log2,,2.0,3.0,100.0,,,,True,,22.0,,True,,90,0.08999999999999998
hgb,False,1246.2919921875,AtomPairs2DCount,random,hcv_ns3,44548237,0.3783076617545685,0.8988678925489674,0.8033963798121726,0.5302894022747233,14577872,0.3669767723495819,0.9180803411263572,0.8369302438463944,0.4873575200316812,0.5581107879410879,0.6415511631926668,0.48900607691783216,0.5437751237127646,,,,,True,,0.1,,0.01,10,,1000.0,32.0,,,100.0,,,,,22.0,,True,,90,0.08999999999999998
svm,False,850.4765625,AtomPairs2DCount,random,hcv_ns3,12469228,0.25011746790780626,0.9364051582728041,0.876278556602581,0.4206681985487326,6164459,0.18220062688518215,0.9734978757540178,0.9462584213754034,0.27977968091058364,0.591470877550455,0.6522741034824198,0.5345407232284851,0.5875978059404602,10.0,,0.0,2.0,,0.001,,,,,,,,,,,,,,,,False,,,50,0.15999999999999998
dt,False,202.6787109375,AtomPairs2DCount,random,hcv_ns3,4496492,0.5087007000619171,0.8286094621046176,0.685708810935685,0.6704760910735652,4034535,0.4982494177257111,0.8504545429496412,0.7197428181277644,0.63890948587686,0.5008507132022412,0.5538904487514222,0.4670966565098925,0.481565034345409,,,,,,,,,,10,sqrt,,4.0,2.0,,,,,,,22.0,,,,100,0.08999999999999998
knn,False,911.52734375,AtomPairs2DCount,random,hcv_ns3,33084598,0.1545694955912172,0.9497020382010013,0.9014425050779625,0.375458569211531,22413435,0.07554624472641677,0.982571089635469,0.9651561983416306,0.22528056532262306,0.541588184513175,0.6531643549695463,0.4758605882133683,0.4957396103566105,,kd_tree,,,,,,40.0,,,,,,,,,-1.0,9.0,,1.0,,,,distance,80,0.08999999999999998
rf,False,16141.541015625,AtomPairs2DCount,stratified,hcv_ns3,43814970,0.2542932267602947,0.9487875315447352,0.8916048705245074,0.3775033356051731,30081596,0.3217836949244708,0.94996556548174,0.8884756216030035,0.4645949805643358,0.6504711589541787,0.6479294531051344,0.7208843860469287,0.582599637710473,,,,,,,,,,20,log2,,1.0,2.0,500.0,,,,True,,22.0,,True,,100,0.15999999999999998
hgb,False,1280.642578125,AtomPairs2DCount,stratified,hcv_ns3,22022181,0.3024406893369859,0.9306382464299753,0.8617084943236726,0.42639652996113375,10140842,0.40343194724140663,0.9150654663872784,0.8260070079240813,0.5803038956392396,0.6312731856375341,0.6173517947186695,0.7155843269348894,0.5608834352590433,,,,,True,,0.01,,0.01,None,,1000.0,16.0,,,100.0,,,,,22.0,,True,,100,0.15999999999999998
svm,False,875.85546875,AtomPairs2DCount,stratified,hcv_ns3,14131943,0.3365569508804673,0.9014723933508797,0.8054079411003707,0.5057995815950427,6432994,0.5184215132323462,0.8313939721427014,0.6810891053389176,0.7856412640435343,0.6227144595782875,0.6257850537040184,0.7120763804189247,0.5302819446119194,1.0,,0.0,2.0,,0.001,,,,,,,,,,,,,,,,False,,,50,0.08999999999999998
dt,False,207.107421875,AtomPairs2DCount,stratified,hcv_ns3,4235056,0.4146016887288806,0.8576550984401318,0.7309173818641592,0.5947832525454557,3986621,0.5303407247373856,0.8324087207312444,0.6900672095282887,0.774503475574333,0.590010417697661,0.5962363189976061,0.6344087447098429,0.5393861893855341,,,,,,,,,,None,log2,,2.0,8.0,,,,,,,22.0,,,,100,0.15999999999999998
knn,False,965.6240234375,AtomPairs2DCount,stratified,hcv_ns3,28006746,0.1370481253190165,0.9525057088003365,0.9071928024913228,0.3493065572856688,11595318,0.14464928067141938,0.9565086650160508,0.9109198653977205,0.41522169795901354,0.6123683432858779,0.6075887584178876,0.7130299988652333,0.5164862725745125,,auto,,,,,,10.0,,,,,,,,,-1.0,5.0,,1.0,,,,distance,100,0.08999999999999998
rf,False,1642.4853515625,AtomPairs2DCount,strict,hcv_ns3,11396358,0.34212162080503694,0.921261528705044,0.836560115046965,0.48631404981957127,8332983,0.3683895656606349,0.9051537647408652,0.8152329447707471,0.5035136315450126,0.6267482642615002,0.6881800200238155,0.5579959840330123,0.6340687887276725,,,,,,,,,,20,sqrt,,1.0,8.0,100.0,,,,True,,22.0,,True,,100,0.08999999999999998
