molecule_chembl_id,canonical_smiles,murcko_fragment,problem_type,strategy,train_test,drop_intermediate,pIC50,bioactivity_class
CHEMBL1301164,CNc1ccc(Br)cc(C(=O)/C=C/c2cc(OC)ccc2OC)c1=O,c1ccc(cc1)C=CCC2=CC=CC=CC2,classification,stratified,test,True,4.94692155651658,inactive
CHEMBL109592,Cc1ccccc1CC[C@H](NC(=O)[C@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(C)C)B1O[C@@H]2C[C@@H]3C[C@@H](C3(C)C)[C@]2(C)O1,O1B(OC2C1CC3CC2C3)C(NCC4NCCC4)CCc5ccccc5,classification,stratified,test,True,6.086186147616283,active
CHEMBL1159463,O=C(OC[C@H]1O[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H]1O)c1cc(O)c(O)c(O)c1,O(Cc1ccccc1)CC2OC(OCc3ccccc3)C(OCc4ccccc4)C(OCc5ccccc5)C2,classification,stratified,train,True,6.1249387366083,active
CHEMBL1311288,NS(=O)(=O)c1ccc2nc(NC(=O)c3ccc4ncsc4c3)sc2c1,n1csc2cc(ccc12)CNc3nc4ccccc4s3,classification,stratified,test,True,4.494850021680094,inactive
CHEMBL13256,CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)NCC(=O)O,n1ccnc(c1)CNCCNCCNCCC2CCCCC2,classification,stratified,train,True,6.638272163982407,active
CHEMBL1334586,Cc1ccc(C)n1NC1=NC(=O)CS1,N1=C(SCC1)Nn2cccc2,classification,stratified,train,True,4.565431095965801,inactive
CHEMBL1337304,O=C1NC(=O)N(c2ccccc2)C(=O)/C1=C\c1ccc([N+](=O)[O-])s1,s1cccc1C=C2CNCN(c3ccccc3)C2,classification,stratified,test,True,4.803133252750761,inactive
CHEMBL1324375,Cc1cc2cc(C(c3nnnn3Cc3ccco3)N3CCc4ccccc4C3)c(O)nc2cc1C,n1nc(n(n1)Cc2occc2)C(c3cnc4ccccc4c3)N5Cc6ccccc6CC5,classification,stratified,train,True,3.963359129771263,inactive
CHEMBL1337018,CCCCCCCCCc1nc2sc3c(c2c(=O)n1NC(=O)c1ccccc1[N+](=O)[O-])CC(C)(C)OC3,N1=CN([CH]c2c1sc3c2CCOC3)NCc4ccccc4,classification,stratified,train,True,4.949349619136086,inactive
CHEMBL13443,C=CCNC(=O)C(=O)[C@H](CC)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(C)C,N1CCCC1,classification,stratified,test,True,6.376750709602099,active
CHEMBL1343163,CC(Oc1ccccc1)C(=O)Nc1oc(-c2ccco2)c(-c2ccco2)c1C#N,o1cccc1-c2oc(cc2-c3occc3)NCCOc4ccccc4,classification,stratified,train,True,4.777101527390578,inactive
CHEMBL1351362,CC(C)NC(=O)c1cc(-c2ccco2)nn1-c1ccc(Cl)cc1,n1c(ccn1-c2ccccc2)-c3occc3,classification,stratified,train,True,4.635336459105234,inactive
CHEMBL1362157,CC1(C)Cc2c(C#N)c(NCCc3ccccc3)nc(-c3ccco3)c2CO1,n1c(cc2c(c1-c3occc3)COCC2)NCCc4ccccc4,classification,stratified,train,True,4.452176085560864,inactive
CHEMBL1364584,COc1ccc(NC2=NC(=O)/C(=C\C=C\c3ccco3)S2)cc1,N1=C(SC(=CC=Cc2occc2)C1)Nc3ccccc3,classification,stratified,train,True,4.587153211488039,inactive
CHEMBL1365290,Cc1ccc(N2C(=O)NC(=O)/C(=C\C=C\c3ccco3)C2=O)cc1C,o1cccc1C=CC=C2CNCN(c3ccccc3)C2,classification,stratified,test,True,4.841939206063395,inactive
CHEMBL1366482,O=C1OC(c2ccco2)=N/C1=C\c1ccc(-c2cccc(C(F)(F)F)c2)o1,N1=C(OCC1=Cc2oc(cc2)-c3ccccc3)c4occc4,classification,stratified,train,True,4.654626269440912,inactive
CHEMBL1371074,O=C(O)c1cccc(-n2c(/C=C/c3ccccc3)nc3ccccc3c2=O)c1,N=1c2ccccc2[CH]N(C1C=Cc3ccccc3)c4ccccc4,classification,stratified,train,True,4.909565583824878,inactive
CHEMBL1376870,Cc1ccc2c(c1)C1C=CCC1C(C(=O)O)N2,c1ccc2c(c1)NCC3CC=CC23,classification,stratified,train,True,4.425390058659813,inactive
CHEMBL1372751,O=C(c1ccc2nc(-c3ccco3)c(-c3ccco3)nc2c1)N1CCN(c2ccccc2)CC1,n1c2ccc(cc2nc(-c3occc3)c1-c4occc4)CN5CCN(c6ccccc6)CC5,classification,stratified,train,True,4.706063186112706,inactive
CHEMBL1399109,O=C(CCl)Nc1nc(-c2ccco2)c(-c2ccco2)s1,n1csc(-c2occc2)c1-c3occc3,classification,stratified,train,True,4.320317779427518,inactive
CHEMBL1387835,COc1c(N2CCN(C(S)=NCc3ccccc3)C(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,N(=CN1CCN(c2ccc3c(c2)N(C=CC3)C4CC4)CC1)Cc5ccccc5,classification,stratified,train,True,4.8255040806247,inactive
