molecule_chembl_id,canonical_smiles,murcko_fragment,problem_type,strategy,train_test,drop_intermediate,pIC50,bioactivity_class
CHEMBL1299566,O=C(Nc1nc(-c2ccco2)c(-c2ccco2)s1)c1ccc([N+](=O)[O-])o1,n1c(sc(-c2occc2)c1-c3occc3)NCc4occc4,regression,strict,train,False,5.465085895570133,intermediate
CHEMBL115114,O=C(Nc1cc(Cl)ccc1Oc1ccc2ccccc2c1Cl)c1cc(Cl)cc(Br)c1O,O(c1ccc2ccccc2c1)c3ccccc3NCc4ccccc4,regression,strict,train,False,5.207608310501746,intermediate
CHEMBL1299903,CCCCOc1cccc(C2C(C(=O)c3ccc(C)o3)=C(O)C(=O)N2Cc2ccco2)c1,o1cccc1CC2=CCN(Cc3occc3)C2c4ccccc4,regression,strict,train,False,5.531504975492931,intermediate
CHEMBL1301164,CNc1ccc(Br)cc(C(=O)/C=C/c2cc(OC)ccc2OC)c1=O,c1ccc(cc1)C=CCC2=CC=CC=CC2,regression,strict,train,False,4.94692155651658,inactive
CHEMBL109592,Cc1ccccc1CC[C@H](NC(=O)[C@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(C)C)B1O[C@@H]2C[C@@H]3C[C@@H](C3(C)C)[C@]2(C)O1,O1B(OC2C1CC3CC2C3)C(NCC4NCCC4)CCc5ccccc5,regression,strict,test,False,6.086186147616283,active
CHEMBL1304445,N#C/C(=C\c1ccc(O)c(O)c1)S(=O)(=O)c1ccccc1,S(C=Cc1ccccc1)c2ccccc2,regression,strict,train,False,5.357634419155026,intermediate
CHEMBL1306839,COc1ccccc1OCCCOc1cccc(/C=C2\SC(=O)NC2=O)c1,O(c1ccccc1)CCCOc2cccc(c2)C=C3SCNC3,regression,strict,train,False,5.417595701980972,intermediate
CHEMBL1159463,O=C(OC[C@H]1O[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H]1O)c1cc(O)c(O)c(O)c1,O(Cc1ccccc1)CC2OC(OCc3ccccc3)C(OCc4ccccc4)C(OCc5ccccc5)C2,regression,strict,train,False,6.1249387366083,active
CHEMBL1311288,NS(=O)(=O)c1ccc2nc(NC(=O)c3ccc4ncsc4c3)sc2c1,n1csc2cc(ccc12)CNc3nc4ccccc4s3,regression,strict,train,False,4.494850021680094,inactive
CHEMBL1310699,O=C(NC1CCCC1)c1ccc2nc(-c3ccco3)c(-c3ccco3)nc2c1,n1c2ccc(cc2nc(-c3occc3)c1-c4occc4)CNC5CCCC5,regression,strict,train,False,5.260190400978641,intermediate
CHEMBL1323110,O=C(C1=C(O)C(=O)N(Cc2ccco2)C1c1cccc(Cl)c1)c1ccc2c(c1)OCCO2,o1cccc1CN2CC=C(Cc3ccc4OCCOc4c3)C2c5ccccc5,regression,strict,train,False,5.336487529584844,intermediate
CHEMBL1333666,Cc1cc(Cl)ccc1Oc1ccccc1C(=O)CC#N,O(c1ccccc1)c2ccccc2,regression,strict,train,False,5.450383760480914,intermediate
CHEMBL13256,CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)NCC(=O)O,n1ccnc(c1)CNCCNCCNCCC2CCCCC2,regression,strict,train,False,6.638272163982407,active
CHEMBL1334586,Cc1ccc(C)n1NC1=NC(=O)CS1,N1=C(SCC1)Nn2cccc2,regression,strict,train,False,4.565431095965801,inactive
CHEMBL1334412,Cc1cc(C)c2c(c1)NC(C(=O)O)C1CC=CC21,c1ccc2c(c1)NCC3CC=CC23,regression,strict,train,False,5.43486084803021,intermediate
CHEMBL1336054,Cc1ccc(/C=C/C(=O)c2ccccc(=O)c2O)c(C)c1,c1ccc(cc1)C=CCC=2C=CC=CCC2,regression,strict,test,False,5.5379016188648444,intermediate
CHEMBL1337304,O=C1NC(=O)N(c2ccccc2)C(=O)/C1=C\c1ccc([N+](=O)[O-])s1,s1cccc1C=C2CNCN(c3ccccc3)C2,regression,strict,train,False,4.803133252750761,inactive
CHEMBL1324375,Cc1cc2cc(C(c3nnnn3Cc3ccco3)N3CCc4ccccc4C3)c(O)nc2cc1C,n1nc(n(n1)Cc2occc2)C(c3cnc4ccccc4c3)N5Cc6ccccc6CC5,regression,strict,train,False,3.963359129771263,inactive
CHEMBL1337018,CCCCCCCCCc1nc2sc3c(c2c(=O)n1NC(=O)c1ccccc1[N+](=O)[O-])CC(C)(C)OC3,N1=CN([CH]c2c1sc3c2CCOC3)NCc4ccccc4,regression,strict,train,False,4.949349619136086,inactive
CHEMBL1338595,Cc1ccc2nc(N3C(=O)C(O)=C(C(=O)c4ccco4)C3c3ccc(O)cc3)sc2c1.O=C(O)C(=O)O,n1c(sc2ccccc12)N3CC=C(Cc4occc4)C3c5ccccc5,regression,strict,train,False,5.465973893943865,intermediate
CHEMBL13443,C=CCNC(=O)C(=O)[C@H](CC)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(C)C,N1CCCC1,regression,strict,train,False,6.376750709602099,active
CHEMBL1343163,CC(Oc1ccccc1)C(=O)Nc1oc(-c2ccco2)c(-c2ccco2)c1C#N,o1cccc1-c2oc(cc2-c3occc3)NCCOc4ccccc4,regression,strict,train,False,4.777101527390578,inactive
CHEMBL1346055,O=C(O)c1ccc(-n2cccc2/C=C2/NC(=O)N(c3cccc(Cl)c3)C2=O)cc1,c1ccc(cc1)-n2cccc2C=C3NCN(c4ccccc4)C3,regression,strict,train,False,5.217097594025355,intermediate
CHEMBL1351362,CC(C)NC(=O)c1cc(-c2ccco2)nn1-c1ccc(Cl)cc1,n1c(ccn1-c2ccccc2)-c3occc3,regression,strict,train,False,4.635336459105234,inactive
CHEMBL1347122,O=C(CCCSc1ccccc1)Nc1nc(-c2ccco2)c(-c2ccco2)s1,n1c(sc(-c2occc2)c1-c3occc3)NCCCCSc4ccccc4,regression,strict,train,False,5.250650239402523,intermediate
CHEMBL1362157,CC1(C)Cc2c(C#N)c(NCCc3ccccc3)nc(-c3ccco3)c2CO1,n1c(cc2c(c1-c3occc3)COCC2)NCCc4ccccc4,regression,strict,train,False,4.452176085560864,inactive
CHEMBL1364584,COc1ccc(NC2=NC(=O)/C(=C\C=C\c3ccco3)S2)cc1,N1=C(SC(=CC=Cc2occc2)C1)Nc3ccccc3,regression,strict,train,False,4.587153211488039,inactive
CHEMBL1365290,Cc1ccc(N2C(=O)NC(=O)/C(=C\C=C\c3ccco3)C2=O)cc1C,o1cccc1C=CC=C2CNCN(c3ccccc3)C2,regression,strict,train,False,4.841939206063395,inactive
CHEMBL1347385,O=C1NN(c2ccccc2)C(=O)/C1=C/c1ccc(Sc2cccc3ccccc23)o1,o1c(Sc2cccc3ccccc23)ccc1C=C4CNN(c5ccccc5)C4,regression,strict,train,False,5.255863547598753,intermediate
CHEMBL1366482,O=C1OC(c2ccco2)=N/C1=C\c1ccc(-c2cccc(C(F)(F)F)c2)o1,N1=C(OCC1=Cc2oc(cc2)-c3ccccc3)c4occc4,regression,strict,train,False,4.654626269440912,inactive
CHEMBL1373132,O=C(O)CCN1C(=O)/C(=C2\C(=O)N(Cc3ccccc3Cl)c3ccccc32)SC1=S,S1C(=C2c3ccccc3N(Cc4ccccc4)C2)CNC1,regression,strict,train,False,5.513569521145566,intermediate
CHEMBL1371074,O=C(O)c1cccc(-n2c(/C=C/c3ccccc3)nc3ccccc3c2=O)c1,N=1c2ccccc2[CH]N(C1C=Cc3ccccc3)c4ccccc4,regression,strict,train,False,4.909565583824878,inactive
CHEMBL1375490,Cc1cc(O)c(C(=O)/C=C/c2c(F)c(F)c(F)c(F)c2F)c(=O)o1,O1C=CC=C(C1)CC=Cc2ccccc2,regression,strict,train,False,5.053302162754258,intermediate
CHEMBL1376870,Cc1ccc2c(c1)C1C=CCC1C(C(=O)O)N2,c1ccc2c(c1)NCC3CC=CC23,regression,strict,train,False,4.425390058659813,inactive
CHEMBL1378059,CCC(C(=O)O)n1nnc(-c2ccc(-c3ccc(OC)cc3)cc2)n1,n1nc(n[nH]1)-c2ccc(cc2)-c3ccccc3,regression,strict,train,False,5.0745847629157534,intermediate
CHEMBL1374123,Cc1cc(N2C(=O)C(O)=C(C(=O)c3ccc(C)o3)C2c2ccc(OCc3ccccc3)cc2)no1,n1occc1N2CC=C(Cc3occc3)C2c4ccc(OCc5ccccc5)cc4,regression,strict,train,False,5.759950227887352,intermediate
CHEMBL1381419,Cc1ccc(-n2cccc2/C=C2\C(=N)N3N=C(c4ccco4)SC3=NC2=O)cc1,N1=C(SC2=NCC(=Cc3cccn3-c4ccccc4)CN12)c5occc5,regression,strict,train,False,5.27523275435369,intermediate
CHEMBL1372751,O=C(c1ccc2nc(-c3ccco3)c(-c3ccco3)nc2c1)N1CCN(c2ccccc2)CC1,n1c2ccc(cc2nc(-c3occc3)c1-c4occc4)CN5CCN(c6ccccc6)CC5,regression,strict,train,False,4.706063186112706,inactive
CHEMBL1399109,O=C(CCl)Nc1nc(-c2ccco2)c(-c2ccco2)s1,n1csc(-c2occc2)c1-c3occc3,regression,strict,train,False,4.320317779427518,inactive
CHEMBL1387693,COc1ccc(-n2cccc2/C=C2\C(=N)N3N=C(c4ccco4)SC3=NC2=O)cc1,N1=C(SC2=NCC(=Cc3cccn3-c4ccccc4)CN12)c5occc5,regression,strict,test,False,5.108295323760817,intermediate
CHEMBL1404086,Cc1ccc(C)c(/C=C/C(=O)c2ccccc(=O)c2O)c1,c1ccc(cc1)C=CCC=2C=CC=CCC2,regression,strict,test,False,5.599289363226768,intermediate
CHEMBL1387835,COc1c(N2CCN(C(S)=NCc3ccccc3)C(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,N(=CN1CCN(c2ccc3c(c2)N(C=CC3)C4CC4)CC1)Cc5ccccc5,regression,strict,train,False,4.8255040806247,inactive
