molecule_chembl_id,canonical_smiles,murcko_fragment,problem_type,strategy,train_test,drop_intermediate,pIC50,bioactivity_class
CHEMBL112200,CCC1C(=O)N(S(C)(=O)=O)[C@H]2CCN(C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)[C@H]12,N1CCC2NCCC12,classification,random,test,True,4.568636235841013,inactive
CHEMBL111936,CCC1C(=O)N(S(C)(=O)=O)[C@H]2CCN(C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(C)=O)C(C)C)C(C)C)[C@H]12,N1CCC2NCCC12,classification,random,train,True,4.721246399047171,inactive
CHEMBL112053,CC(C)C[C@H](NC(=O)Cn1nc(-c2ccccc2)c2ccccc2c1=O)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,n1nc(-c2ccccc2)c3ccccc3c1,classification,random,train,True,3.6989700043360183,inactive
CHEMBL112067,CC(C)C[C@H](NC(=O)Cn1c(-c2ccccc2)nc2ccccc21)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,n1c2ccccc2[nH]c1-c3ccccc3,classification,random,train,True,3.6989700043360183,inactive
CHEMBL112557,CC(C)C[C@H](NC(=O)[C@H](O)c1ccccc1Cl)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,c1ccccc1,classification,random,train,True,4.3872161432802645,inactive
CHEMBL114125,CC(C)C[C@H](NC(=O)[C@H](O)c1cccs1)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,s1cccc1,classification,random,train,True,4.7447274948966935,inactive
CHEMBL113467,CC(C)C[C@H](NC(=O)[C@H](O)c1ccc(Cl)cc1)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,c1ccccc1,classification,random,train,True,4.886056647693163,inactive
CHEMBL115136,CC[C@H]1C(=O)N(C(C)=O)[C@H]2CCN(C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)[C@@H]21,N1CCC2NCCC12,classification,random,train,True,3.832682665251824,inactive
CHEMBL113402,CC(C)C[C@H](NC(=O)CC(c1ccccc1)c1ccccc1)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,c1ccc(cc1)Cc2ccccc2,classification,random,train,True,3.6989700043360183,inactive
CHEMBL115275,COc1ccc(C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O)c(OC)c1OC,c1ccccc1,classification,random,test,True,3.6989700043360183,inactive
CHEMBL115621,CC(C)C[C@H](NC(=O)[C@@H](O)c1ccccc1)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,c1ccccc1,classification,random,train,True,4.0,inactive
CHEMBL115574,CC(C)C[C@H](NC(=O)C(CCC(=O)O)NC(=O)OC(C)(C)C)C(=O)N[C@@H](CS)C(=O)NCCc1ccccc1,c1ccccc1,classification,random,test,True,4.568636235841013,inactive
CHEMBL115359,CC(C)C[C@H](NC(=O)C(Cc1ccccc1)c1ccccc1)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,c1ccc(cc1)CCc2ccccc2,classification,random,train,True,4.522878745280337,inactive
CHEMBL115495,COc1ccc(C(Oc2ccccc2)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O)cc1,O(c1ccccc1)Cc2ccccc2,classification,random,train,True,4.7447274948966935,inactive
CHEMBL116118,CC[C@@H]1C(=O)N(C(C)=O)[C@H]2CCN(C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)[C@H]12,N1CCC2NCCC12,classification,random,train,True,4.552841968657781,inactive
CHEMBL116143,CC(C)COC(=O)NC(CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)NC(CS)C(=O)NCCc1ccccc1,c1ccccc1,classification,random,test,True,4.721246399047171,inactive
CHEMBL116193,COC(=O)c1ccc(CCNC(=O)C(CS)NC(=O)[C@H](CC(C)C)NC(=O)C(CCC(=O)O)NC(=O)OCC(C)C)cc1,c1ccccc1,classification,random,train,True,4.769551078621726,inactive
CHEMBL116690,CC(C)C[C@@H](NC(=O)[C@H](NC(=O)OC(C)(C)C)C(C)C)C(=O)N[C@H](CC(F)F)C(=O)C(=O)O,NO_SCAFFOLD,classification,random,train,True,6.337242168318426,active
CHEMBL117986,CC(C)C[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)CCc1ccccc1)C(=O)N[C@@H](CS)C(=O)NCCc1ccccc1,c1ccc(cc1)CCNCCNCCNCCNCCCc2ccccc2,classification,random,test,True,4.3979400086720375,inactive
