molecule_chembl_id,canonical_smiles,murcko_fragment,problem_type,strategy,train_test,drop_intermediate,pIC50,bioactivity_class
CHEMBL203738,O=C(O)c1nc(-c2cc3ccccc3s2)nc(O)c1O,n1cccnc1-c2sc3ccccc3c2,classification,random,train,True,4.935542010773082,inactive
CHEMBL180689,Oc1ncnc2nc(-c3ccco3)c(-c3ccoc3)nc12,n1cnc2nc(c(nc2c1)-c3cocc3)-c4occc4,classification,random,train,True,4.236572006437063,inactive
CHEMBL381660,CCOC(=O)c1c(NC(=O)NS(=O)(=O)c2ccc(C)cc2)sc2c1CCC(C)(C)C2,S(NCNc1sc2c(c1)CCCC2)c3ccccc3,classification,random,train,True,7.045757490560675,active
CHEMBL173718,CC(C)=Cc1nc2cc(C(=O)O)ccc2n1C1CCCCC1,n1cn(c2ccccc12)C3CCCCC3,classification,random,train,True,4.721246399047171,inactive
CHEMBL377356,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(=O)(=O)NC(=O)OCC(=O)O)ccc3N2)c(O)c2cccnc21,N=1Sc2ccccc2NC1c3cnc4ncccc4c3,classification,random,train,True,7.301029995663981,active
CHEMBL201385,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1CC1CCC1,N=1Sc2ccccc2NC1C3=Cc4ccccc4N(C3)CC5CCC5,classification,random,train,True,7.309803919971486,active
CHEMBL4218571,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc3c(cc12)C(C)=CCCN3S(C)(=O)=O,o1c(cc2cc3C=CCCNc3cc12)-c4ccccc4,classification,random,train,True,7.795880017344075,active
CHEMBL192831,Cc1ccc(C(=O)N/C(=C\c2ccc(Oc3ccccc3Br)cc2)C(=O)O)cc1,O(c1ccccc1)c2ccc(C=CNCc3ccccc3)cc2,classification,random,train,True,6.6020599913279625,active
CHEMBL4206315,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc3c(cc12)CCCCN3C(=O)OC,o1c(cc2cc3c(cc12)NCCCC3)-c4ccccc4,classification,random,train,True,6.785156151952302,active
CHEMBL3956429,CCOC(=O)[C@H](C)NP(=O)(Oc1ccccc1)O[C@@H](C)[C@H]1O[C@@H](n2ccc3c(N)ncnc32)[C@](C)(O)[C@@H]1O,n1cnc2c(c1)ccn2C3OC(COPOc4ccccc4)CC3,classification,random,train,True,4.0,inactive
CHEMBL362243,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1NCC1=CCOC=C1,N=1Sc2ccccc2NC1C3=Cc4ccccc4N(NCC=5C=COCC5)C3,classification,random,test,True,6.357535479757878,active
CHEMBL3898834,CC(C)OC(=O)[C@H](C)NP(=O)(Oc1ccccc1Cl)OC(C)[C@H]1O[C@@H](n2ccc3c(N)ncnc32)[C@](C)(F)[C@@H]1O,n1cnc2c(c1)ccn2C3OC(COPOc4ccccc4)CC3,classification,random,train,True,4.0,inactive
CHEMBL365105,O=C(O)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccc(Br)cc1,O(c1ccccc1)c2ccc(C=CNCc3ccccc3)cc2,classification,random,train,True,6.920818753952375,active
CHEMBL181556,CCCC(CC)Nn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc21,N=1Sc2ccccc2NC1C3=Cc4ccccc4NC3,classification,random,train,True,6.413412695328245,active
CHEMBL4216847,CS(=O)(=O)N1CCCCc2cc3c(-c4ncn[nH]4)c(-c4ccc(F)cc4)oc3cc21,n1cnc([nH]1)-c2c(oc3cc4NCCCCc4cc32)-c5ccccc5,classification,random,train,True,6.070581074285707,active
CHEMBL4208367,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc3c(cc12)[C@@H](C)OC1(CC1)CN3S(C)(=O)=O,o1c(cc2cc3c(cc12)NCC4(OC3)CC4)-c5ccccc5,classification,random,train,True,6.176525770829699,active
CHEMBL262711,CCOC(=O)c1cc(=O)c(O)co1,O1C=CCC=C1,classification,random,train,True,4.0,inactive
CHEMBL208117,CCCC1(CC(=O)O)CCCc2c1[nH]c1c(Cl)cc(Br)cc21,c1ccc2c(c1)[nH]c3c2CCCC3,classification,random,train,True,4.481486060122112,inactive
CHEMBL205086,O=C(O)c1nc(-c2sccc2[N+](=O)[O-])n(Cc2ccccc2)c(=O)c1O,N=1C=C[CH]N(C1c2sccc2)Cc3ccccc3,classification,random,train,True,4.100726812682396,inactive
CHEMBL4440367,C[C@@]1(F)[C@H](O)[C@@](F)(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O[C@H]1n1ccc(=O)[nH]c1=O,[N]1[CH]C=CN([CH]1)C2OCCC2,classification,random,train,True,6.0655015487564325,active
CHEMBL4112400,CO[C@]1(c2cnc3c(N)ncnn23)O[C@H](CO)[C@@H](O)[C@@]1(C)N,n1cnn2c(ncc2C3OCCC3)c1,classification,random,train,True,4.0,inactive
CHEMBL4107865,C[C@@H](O)[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@](C)(O)[C@@H]1O,n1cnc2c(ncn2C3OCCC3)c1,classification,random,train,True,4.0,inactive
CHEMBL194460,O=C(O)C(=O)/C=C(\O)c1ccc(Cc2ccc(F)cc2)s1,s1cccc1Cc2ccccc2,classification,random,train,True,4.187086643357144,inactive
CHEMBL380801,O=C(O)C(=O)/C=C(\O)c1cccc(Cc2cc(Br)cc(Br)c2)c1,c1ccc(cc1)Cc2ccccc2,classification,random,test,True,4.494850021680094,inactive
CHEMBL4108651,COc1ccc2c(c1)C1CC13Cn1c-2c(C2CCCCC2)c2ccc(cc21)C(=O)NS(=O)(=O)N(C)C/C=C/CCNC3=O,S1NCC=CCCNCC23Cn4c5cc(ccc5c(c4-c6ccccc6C3C2)C7CCCCC7)CN1,classification,random,train,True,6.031517051446065,active
CHEMBL4543936,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N3C(=O)OC[C@@H]3c3ccc(B(O)O)c(F)c3)c(C3CC3)cc12,o1c(cc2cc(c(cc12)N3COCC3c4ccccc4)C5CC5)-c6ccccc6,classification,random,train,True,8.698970004336019,active
CHEMBL4112860,CC(C)(O)[C@H]1O[C@@H](n2ccc3c(N)ncnc32)[C@](C)(F)[C@@H]1O,n1cnc2c(c1)ccn2C3OCCC3,classification,random,train,True,4.0,inactive
CHEMBL4213298,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc3c(cc12)[C@H](C)OC1(CC1)CN3S(C)(=O)=O,o1c(cc2cc3c(cc12)NCC4(OC3)CC4)-c5ccccc5,classification,random,train,True,7.886056647693163,active
CHEMBL197118,O=C(O)C(=O)/C=C(\O)c1cnc2cc(Cl)ccc2c1O,n1cccc2ccccc12,classification,random,train,True,4.585026652029182,inactive
CHEMBL211044,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(=O)(=O)NC4CCNCC4)ccc3N2)c(O)c2cccnc21,N=1Sc2cc(ccc2NC1c3cnc4ncccc4c3)NSNC5CCNCC5,classification,random,test,True,7.494850021680094,active
CHEMBL174646,CCc1ccc(C(=O)CC(=O)C(=O)O)cc1,c1ccccc1,classification,random,train,True,4.327902142064283,inactive
CHEMBL378470,NS(=O)(=O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c1,n1c2ccccc2n(c1-c3ccc(OCc4ccccc4-c5ccccc5)cc3)C6CCCCC6,classification,random,test,True,7.795880017344075,active
CHEMBL4546966,CCN(C(C)=O)c1cc2oc(-c3ccc(F)cc3)c(C(=O)NC)c2cc1-c1ccc(OC)c(C(=O)NC2(c3ncccn3)CC2)c1,n1cccnc1C2(NCc3cccc(c3)-c4ccc5oc(cc5c4)-c6ccccc6)CC2,classification,random,test,True,7.455931955649724,active
CHEMBL379826,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NCC(N)=O)ccc3N2)c(O)c2cccnc21,N=1Sc2ccccc2NC1c3cnc4ncccc4c3,classification,random,train,True,7.468521082957745,active
CHEMBL369765,CCCCCCNc1ncnc2nc(-c3ccc(F)cc3)c(-c3ccc(F)cc3)nc12,n1cnc2nc(-c3ccccc3)c(nc2c1)-c4ccccc4,classification,random,train,True,4.0,inactive
CHEMBL4288803,CNC(=O)c1c(-c2ccc(F)cc2)oc2nc(NCC(F)(F)F)c(-c3cccc(C(=O)NC(C)(C)C)c3)cc12,n1cc(cc2cc(oc12)-c3ccccc3)-c4ccccc4,classification,random,train,True,8.0,active
