molecule_chembl_id,canonical_smiles,murcko_fragment,problem_type,strategy,train_test,drop_intermediate,pIC50,bioactivity_class
CHEMBL203738,O=C(O)c1nc(-c2cc3ccccc3s2)nc(O)c1O,n1cccnc1-c2sc3ccccc3c2,regression,strict,train,False,4.935542010773082,inactive
CHEMBL180689,Oc1ncnc2nc(-c3ccco3)c(-c3ccoc3)nc12,n1cnc2nc(c(nc2c1)-c3cocc3)-c4occc4,regression,strict,train,False,4.236572006437063,inactive
CHEMBL215262,CC(C)c1cccc(CCC2(C3CCCC3)CC(=O)CC(=O)O2)c1,O1CCCCC1(CCc2ccccc2)C3CCCC3,regression,strict,test,False,5.7447274948966935,intermediate
CHEMBL381660,CCOC(=O)c1c(NC(=O)NS(=O)(=O)c2ccc(C)cc2)sc2c1CCC(C)(C)C2,S(NCNc1sc2c(c1)CCCC2)c3ccccc3,regression,strict,train,False,7.045757490560675,active
CHEMBL173718,CC(C)=Cc1nc2cc(C(=O)O)ccc2n1C1CCCCC1,n1cn(c2ccccc12)C3CCCCC3,regression,strict,train,False,4.721246399047171,inactive
CHEMBL377356,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(=O)(=O)NC(=O)OCC(=O)O)ccc3N2)c(O)c2cccnc21,N=1Sc2ccccc2NC1c3cnc4ncccc4c3,regression,strict,train,False,7.301029995663981,active
CHEMBL201385,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1CC1CCC1,N=1Sc2ccccc2NC1C3=Cc4ccccc4N(C3)CC5CCC5,regression,strict,train,False,7.309803919971486,active
CHEMBL4218571,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc3c(cc12)C(C)=CCCN3S(C)(=O)=O,o1c(cc2cc3C=CCCNc3cc12)-c4ccccc4,regression,strict,train,False,7.795880017344075,active
CHEMBL192831,Cc1ccc(C(=O)N/C(=C\c2ccc(Oc3ccccc3Br)cc2)C(=O)O)cc1,O(c1ccccc1)c2ccc(C=CNCc3ccccc3)cc2,regression,strict,train,False,6.6020599913279625,active
CHEMBL4206315,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc3c(cc12)CCCCN3C(=O)OC,o1c(cc2cc3c(cc12)NCCCC3)-c4ccccc4,regression,strict,train,False,6.785156151952302,active
CHEMBL3956429,CCOC(=O)[C@H](C)NP(=O)(Oc1ccccc1)O[C@@H](C)[C@H]1O[C@@H](n2ccc3c(N)ncnc32)[C@](C)(O)[C@@H]1O,n1cnc2c(c1)ccn2C3OC(COPOc4ccccc4)CC3,regression,strict,train,False,4.0,inactive
CHEMBL362243,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1NCC1=CCOC=C1,N=1Sc2ccccc2NC1C3=Cc4ccccc4N(NCC=5C=COCC5)C3,regression,strict,train,False,6.357535479757878,active
CHEMBL370326,O=C(O)/C(=C/c1ccc(-c2cccc(C(F)(F)F)c2)o1)NC(=O)c1ccccc1,o1c(C=CNCc2ccccc2)ccc1-c3ccccc3,regression,strict,train,False,5.060480747381382,intermediate
CHEMBL3898834,CC(C)OC(=O)[C@H](C)NP(=O)(Oc1ccccc1Cl)OC(C)[C@H]1O[C@@H](n2ccc3c(N)ncnc32)[C@](C)(F)[C@@H]1O,n1cnc2c(c1)ccn2C3OC(COPOc4ccccc4)CC3,regression,strict,train,False,4.0,inactive
CHEMBL365105,O=C(O)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccc(Br)cc1,O(c1ccccc1)c2ccc(C=CNCc3ccccc3)cc2,regression,strict,train,False,6.920818753952375,active
CHEMBL202808,COc1ccc(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCC3)cc2)cc1,n1c2ccccc2n(c1-c3ccc(OCc4ccccc4)cc3)C5CCCC5,regression,strict,train,False,5.6777807052660805,intermediate
CHEMBL2236451,CC(C)c1ccc(-c2nc(SCc3ccc(OC(F)(F)F)cc3)[nH]c(=O)c2C#N)cc1,n1ccc(nc1SCc2ccccc2)-c3ccccc3,regression,strict,train,False,5.00436480540245,intermediate
CHEMBL196293,O=C(O)C(=O)/C=C(\O)c1ccsc1,s1cccc1,regression,strict,train,False,5.3979400086720375,intermediate
CHEMBL181556,CCCC(CC)Nn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc21,N=1Sc2ccccc2NC1C3=Cc4ccccc4NC3,regression,strict,train,False,6.413412695328245,active
CHEMBL4216847,CS(=O)(=O)N1CCCCc2cc3c(-c4ncn[nH]4)c(-c4ccc(F)cc4)oc3cc21,n1cnc([nH]1)-c2c(oc3cc4NCCCCc4cc32)-c5ccccc5,regression,strict,train,False,6.070581074285707,active
CHEMBL4208367,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc3c(cc12)[C@@H](C)OC1(CC1)CN3S(C)(=O)=O,o1c(cc2cc3c(cc12)NCC4(OC3)CC4)-c5ccccc5,regression,strict,train,False,6.176525770829699,active
CHEMBL262711,CCOC(=O)c1cc(=O)c(O)co1,O1C=CCC=C1,regression,strict,test,False,4.0,inactive
CHEMBL208117,CCCC1(CC(=O)O)CCCc2c1[nH]c1c(Cl)cc(Br)cc21,c1ccc2c(c1)[nH]c3c2CCCC3,regression,strict,test,False,4.481486060122112,inactive
CHEMBL205086,O=C(O)c1nc(-c2sccc2[N+](=O)[O-])n(Cc2ccccc2)c(=O)c1O,N=1C=C[CH]N(C1c2sccc2)Cc3ccccc3,regression,strict,train,False,4.100726812682396,inactive
CHEMBL4440367,C[C@@]1(F)[C@H](O)[C@@](F)(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O[C@H]1n1ccc(=O)[nH]c1=O,[N]1[CH]C=CN([CH]1)C2OCCC2,regression,strict,test,False,6.0655015487564325,active
CHEMBL4112400,CO[C@]1(c2cnc3c(N)ncnn23)O[C@H](CO)[C@@H](O)[C@@]1(C)N,n1cnn2c(ncc2C3OCCC3)c1,regression,strict,train,False,4.0,inactive
CHEMBL4107865,C[C@@H](O)[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@](C)(O)[C@@H]1O,n1cnc2c(ncn2C3OCCC3)c1,regression,strict,train,False,4.0,inactive
