molecule_chembl_id,canonical_smiles,murcko_fragment,problem_type,strategy,train_test,drop_intermediate,pIC50,bioactivity_class
CHEMBL106,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,n1cnn(c1)CC(c2ccccc2)Cn3ncnc3,classification,stratified,train,True,3.7,inactive
CHEMBL1083652,O=c1c2ccccc2oc2cccc(Cn3ccnc3)c12,n1ccn(c1)Cc2cccc3Oc4ccccc4Cc32,classification,stratified,train,True,6.06,active
CHEMBL109347,O=C(NCc1cccnc1)C12CC3CC(CC(C3)C1)C2,n1cccc(c1)CNCC23CC4CC(CC(C4)C2)C3,classification,stratified,test,True,4.74,inactive
CHEMBL110257,C[C@H](NC(=O)C12CC3CC(CC(C3)C1)C2)c1ccncc1,n1ccc(cc1)CNCC23CC4CC(CC(C4)C2)C3,classification,stratified,train,True,6.68,active
CHEMBL110524,C[C@H](OC(=O)C12CC3CC(CC(C3)C1)C2)c1ccncc1,n1ccc(cc1)COCC23CC4CC(CC(C4)C2)C3,classification,stratified,train,True,8.74,active
CHEMBL112292,C[C@@H](OC(=O)C12CC3CC(CC(C3)C1)C2)c1ccncc1,n1ccc(cc1)COCC23CC4CC(CC(C4)C2)C3,classification,stratified,test,True,7.13,active
CHEMBL112509,C[C@H](OC(=O)C12CC3CC(CC(C3)C1)C2)c1cccnc1,n1cccc(c1)COCC23CC4CC(CC(C4)C2)C3,classification,stratified,train,True,6.64,active
CHEMBL112908,CC(C)(OC(=O)C12CC3CC(CC(C3)C1)C2)c1ccncc1,n1ccc(cc1)COCC23CC4CC(CC(C4)C2)C3,classification,stratified,train,True,8.57,active
CHEMBL113242,O=C(OCc1ccncc1)C12CC3CC(CC(C3)C1)C2,n1ccc(cc1)COCC23CC4CC(CC(C4)C2)C3,classification,stratified,train,True,7.74,active
CHEMBL113647,O=C(OCc1cccnc1)C12CC3CC(CC(C3)C1)C2,n1cccc(c1)COCC23CC4CC(CC(C4)C2)C3,classification,stratified,test,True,6.34,active
CHEMBL114019,C[C@@H](NC(=O)C12CC3CC(CC(C3)C1)C2)c1ccncc1,n1ccc(cc1)CNCC23CC4CC(CC(C4)C2)C3,classification,stratified,train,True,6.37,active
CHEMBL1171987,Nc1cccc(-c2ccc(Cc3ccncc3)cc2)c1,n1ccc(cc1)Cc2ccc(cc2)-c3ccccc3,classification,stratified,test,True,6.65,active
CHEMBL1171991,CC(C)=C(c1ccncc1)c1ccc(-c2ccc(N)c(N)c2)cc1,n1ccc(cc1)Cc2ccc(cc2)-c3ccccc3,classification,stratified,train,True,7.12,active
CHEMBL1172559,CC(C)C(c1ccncc1)c1ccc(-c2cccc(O)c2)cc1,n1ccc(cc1)Cc2ccc(cc2)-c3ccccc3,classification,stratified,train,True,6.11,active
CHEMBL1172779,Oc1ccc(-c2ccc(Cc3ccncc3)cc2)cc1O,n1ccc(cc1)Cc2ccc(cc2)-c3ccccc3,classification,stratified,train,True,7.28,active
CHEMBL1172842,CC(C)=C(c1ccncc1)c1ccc(-c2ccc3cc(O)ccc3c2)cc1,n1ccc(cc1)Cc2ccc(cc2)-c3ccc4ccccc4c3,classification,stratified,train,True,7.21,active
CHEMBL1172847,CC(C)=C(c1ccncc1)c1ccc(-c2ccc(O)c(O)c2)cc1,n1ccc(cc1)Cc2ccc(cc2)-c3ccccc3,classification,stratified,test,True,7.43,active
CHEMBL1172882,Oc1cccc(-c2ccc(Cc3ccncc3)cc2)c1,n1ccc(cc1)Cc2ccc(cc2)-c3ccccc3,classification,stratified,train,True,7.01,active
CHEMBL1172883,CCC(c1ccncc1)c1ccc(-c2cccc(O)c2)cc1,n1ccc(cc1)Cc2ccc(cc2)-c3ccccc3,classification,stratified,train,True,6.72,active
CHEMBL1173259,CC(C)=C(c1ccncc1)c1ccc(-c2cccc(O)c2)cc1,n1ccc(cc1)Cc2ccc(cc2)-c3ccccc3,classification,stratified,train,True,7.25,active
CHEMBL1173260,Oc1ccc(-c2ccc(Cc3ccncc3)cc2)cc1F,n1ccc(cc1)Cc2ccc(cc2)-c3ccccc3,classification,stratified,train,True,6.73,active
CHEMBL1173261,CCC(c1ccncc1)c1ccc(-c2ccc(O)c(F)c2)cc1,n1ccc(cc1)Cc2ccc(cc2)-c3ccccc3,classification,stratified,train,True,6.46,active
CHEMBL1173326,CC(C)=C(c1ccncc1)c1ccc(-c2cccc(N)c2)cc1,n1ccc(cc1)Cc2ccc(cc2)-c3ccccc3,classification,stratified,train,True,7.42,active
CHEMBL1173327,Nc1ccc(-c2ccc(Cc3ccncc3)cc2)cc1N,n1ccc(cc1)Cc2ccc(cc2)-c3ccccc3,classification,stratified,train,True,6.47,active
CHEMBL1173335,CC(C)=C(c1ccncc1)c1ccc(-c2ccc(O)c(F)c2)cc1,n1ccc(cc1)Cc2ccc(cc2)-c3ccccc3,classification,stratified,train,True,7.12,active
CHEMBL1173727,CC(C)=C(c1ccncc1)c1ccc(-c2ccc(NC(=O)OC(C)(C)C)cc2)cc1,n1ccc(cc1)Cc2ccc(cc2)-c3ccccc3,classification,stratified,train,True,6.31,active
CHEMBL1173795,CC(C)=C(c1ccncc1)c1ccc(-c2ccc(NC(=O)OC(C)(C)C)c(F)c2)cc1,n1ccc(cc1)Cc2ccc(cc2)-c3ccccc3,classification,stratified,test,True,6.07,active
CHEMBL1173796,CC(C)=C(c1ccncc1)c1ccc(-c2ccc(NC(=O)OC(C)(C)C)c(NC(=O)OC(C)(C)C)c2)cc1,n1ccc(cc1)Cc2ccc(cc2)-c3ccccc3,classification,stratified,test,True,5.0,inactive
CHEMBL1214660,Fc1ccc(-c2ccc(Cc3ccncc3)cc2)cc1F,n1ccc(cc1)Cc2ccc(cc2)-c3ccccc3,classification,stratified,train,True,6.22,active
CHEMBL1214663,CC(C)(C)OC(=O)Nc1ccc(-c2ccc(Cc3ccncc3)cc2)cc1F,n1ccc(cc1)Cc2ccc(cc2)-c3ccccc3,classification,stratified,train,True,5.0,inactive
CHEMBL1214664,CC(C)(C)OC(=O)Nc1ccc(-c2ccc(Cc3ccncc3)cc2)cc1NC(=O)OC(C)(C)C,n1ccc(cc1)Cc2ccc(cc2)-c3ccccc3,classification,stratified,test,True,5.0,inactive
CHEMBL1214734,COc1ccc(-c2ccc(Cc3ccncc3)cc2)cc1NC(=O)OC(C)(C)C,n1ccc(cc1)Cc2ccc(cc2)-c3ccccc3,classification,stratified,train,True,5.0,inactive
CHEMBL1214735,c1cc(Cc2ccc(-c3ccsc3)cc2)ccn1,n1ccc(cc1)Cc2ccc(cc2)-c3cscc3,classification,stratified,train,True,6.24,active
CHEMBL1214736,c1csc(-c2ccc(Cc3ccncc3)cc2)c1,n1ccc(cc1)Cc2ccc(cc2)-c3sccc3,classification,stratified,train,True,6.19,active
CHEMBL1214737,c1cc(Cc2ccc(-c3ccc4[nH]ccc4c3)cc2)ccn1,n1ccc(cc1)Cc2ccc(cc2)-c3ccc4[nH]ccc4c3,classification,stratified,test,True,6.12,active
CHEMBL1214739,Oc1ccc2cc(-c3ccc(Cc4ccncc4)cc3)ccc2c1,n1ccc(cc1)Cc2ccc(cc2)-c3ccc4ccccc4c3,classification,stratified,test,True,6.36,active
CHEMBL1215664,Oc1ccc(-c2ccc(C(O)c3ccncc3)cc2)cc1,n1ccc(cc1)Cc2ccc(cc2)-c3ccccc3,classification,stratified,train,True,6.61,active
CHEMBL1215665,Nc1ccc(-c2ccc(Cc3ccncc3)cc2)cc1,n1ccc(cc1)Cc2ccc(cc2)-c3ccccc3,classification,stratified,train,True,6.39,active
CHEMBL1215730,CC(=O)Nc1cccc(-c2ccc(Cc3ccncc3)cc2)c1,n1ccc(cc1)Cc2ccc(cc2)-c3ccccc3,classification,stratified,train,True,6.06,active
