molecule_chembl_id,canonical_smiles,murcko_fragment,problem_type,strategy,train_test,drop_intermediate,pIC50,bioactivity_class
CHEMBL480,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,n1ccccc1CSc2nc3ccccc3[nH]2,regression,strict,train,False,6.002176919254275,active
CHEMBL178459,Cc1c(-c2cnccn2)ssc1=S,n1ccnc(c1)C=2SSCC2,regression,strict,train,False,6.381951903287908,active
CHEMBL3545157,O=c1sn(-c2cccc3ccccc23)c(=O)n1Cc1ccccc1,S1[CH]N([CH]N1c2cccc3ccccc32)Cc4ccccc4,regression,strict,train,False,6.03687237697304,active
CHEMBL297453,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,O1c2ccccc2CC(OCc3ccccc3)C1c4ccccc4,regression,strict,train,False,5.939302159646388,intermediate
CHEMBL4303595,O=C1C=Cc2cc(Br)ccc2C1=O,c1ccc2c(c1)C=CCC2,regression,strict,train,False,7.0,active
CHEMBL444186,CC(CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,N1CCN(CC1)CCN2CCNCC2,regression,strict,train,False,5.496209316942819,intermediate
CHEMBL55400,Nc1ccc2cc3ccc(N)cc3nc2c1,n1c2ccccc2cc3ccccc13,regression,strict,train,False,5.935542010773082,intermediate
CHEMBL1886408,CCOC(=O)Cc1ccc(-c2ccccc2)cc1,c1ccc(cc1)-c2ccccc2,regression,strict,train,False,6.698970004336019,active
CHEMBL505670,O=[N+]([O-])c1ccc(Sc2cccc[n+]2[O-])c2nonc12,n1onc2c1cccc2Sc3ncccc3,regression,strict,train,False,7.0,active
CHEMBL460499,CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O,n1cnccc1,regression,strict,train,False,5.9016183635808765,intermediate
CHEMBL1271993,O=C1C(Cl)=C(N2CCOCC2)C(=O)N1c1ccc(Cl)c(Cl)c1,O1CCN(C2=CCN(c3ccccc3)C2)CC1,regression,strict,train,False,5.547446936771075,intermediate
CHEMBL3665060,CN1CCN(C(=O)c2ccc(-c3ccc4c(C=O)c(O)ccc4c3)s2)CC1,s1c(ccc1CN2CCNCC2)-c3ccc4ccccc4c3,regression,strict,train,False,5.876148359032914,intermediate
CHEMBL1096979,NC(CO)C(=O)NNCc1ccc(O)c(O)c1O,c1ccccc1,regression,strict,train,False,6.853871964321762,active
CHEMBL164,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,O1c2ccccc2CC=C1c3ccccc3,regression,strict,train,False,6.067526235322847,active
CHEMBL1422849,CCN1CCN(C(c2ccc(C(F)(F)F)cc2)c2ccc3cccnc3c2O)CC1,n1cccc2ccc(cc12)C(c3ccccc3)N4CCNCC4,regression,strict,train,False,6.823908740944319,active
CHEMBL284861,Cn1sc(=O)n(Cc2ccccc2)c1=O,[N]1S[CH]N([CH]1)Cc2ccccc2,regression,strict,train,False,5.87942606879415,intermediate
CHEMBL286080,Oc1cc2c(cc1O)C(c1ccccc1)CNCC2,c1ccc(cc1)C2c3ccccc3CCNC2,regression,strict,train,False,5.552841968657781,intermediate
CHEMBL3963349,COC(=O)CC[C@H](NC(=O)[C@H](CC(=O)OC)NC(=O)OCc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](CC(=O)OC)C(=O)CF)C(C)C,c1ccccc1,regression,strict,train,False,8.0,active
CHEMBL3797437,Oc1cc2c(cc1C(c1ccc(C(F)(F)F)cc1)N1CCOCC1)OCO2,O1c2ccc(cc2OC1)C(c3ccccc3)N4CCOCC4,regression,strict,train,False,6.267606240177032,active
CHEMBL289356,Sc1nnc(Nc2ccccc2)s1,n1nc(sc1)Nc2ccccc2,regression,strict,train,False,6.4089353929735005,active
CHEMBL1725120,Cc1ccc(C)c(-n2sc3cc(F)ccc3c2=O)c1,S1c2ccccc2[CH]N1c3ccccc3,regression,strict,train,False,7.698970004336019,active
CHEMBL1356238,[O-][n+]1ccccc1S,n1ccccc1,regression,strict,train,False,7.301029995663981,active
CHEMBL105712,O=C(CCl)c1ccccc1,c1ccccc1,regression,strict,train,False,6.721246399047171,active
CHEMBL508112,c1ccc2sc(SSc3nc4ccccc4s3)nc2c1,n1c(SSc2nc3ccccc3s2)sc4ccccc14,regression,strict,train,False,6.795880017344075,active
CHEMBL1397952,CCOc1cc(C(Nc2cc(C)ccn2)c2ccc3cccnc3c2O)ccc1OC,n1ccccc1NC(c2ccccc2)c3ccc4cccnc4c3,regression,strict,train,False,6.568636235841013,active
CHEMBL192627,O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl,C1=CCC=CC1,regression,strict,train,False,7.698970004336019,active
CHEMBL243652,O=C(CC1Sc2ncnn2C1=O)Nc1ccc(Br)cc1,n1cnn2c1SC(C2)CCNc3ccccc3,regression,strict,train,False,5.690369832574101,intermediate
CHEMBL259018,CC(C)(C)OC(=O)NCCc1nnc(S(=O)(=O)Cc2ccc(Cl)cc2Cl)o1,n1nc(oc1)SCc2ccccc2,regression,strict,train,False,5.374687549038326,intermediate
CHEMBL1271764,CN1CCN(C2=C(Cl)C(=O)N(c3ccc(Cl)c(Cl)c3)C2=O)CC1,c1ccc(cc1)N2CC=C(N3CCNCC3)C2,regression,strict,train,False,5.910094888560602,intermediate
CHEMBL449298,Nc1ccc(O)c2ncccc12,n1cccc2ccccc12,regression,strict,train,False,5.688246138944246,intermediate
CHEMBL566136,CCOC(=O)c1c(N)sc(-c2ccccc2)c1C,s1cccc1-c2ccccc2,regression,strict,train,False,5.496209316942819,intermediate
